Model,Origin,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model_Year,cyl4,org,when,Mfg
chevrolet chevelle malibu           ,USA    ,18,8,307,130,3504,12,70,Other,USA    ,Early,chevrolet    
buick skylark 320                   ,USA    ,15,8,350,165,3693,11.5,70,Other,USA    ,Early,buick        
plymouth satellite                  ,USA    ,18,8,318,150,3436,11,70,Other,USA    ,Early,plymouth     
amc rebel sst                       ,USA    ,16,8,304,150,3433,12,70,Other,USA    ,Early,amc          
ford torino                         ,USA    ,17,8,302,140,3449,10.5,70,Other,USA    ,Early,ford         
ford galaxie 500                    ,USA    ,15,8,429,198,4341,10,70,Other,USA    ,Early,ford         
chevrolet impala                    ,USA    ,14,8,454,220,4354,9,70,Other,USA    ,Early,chevrolet    
plymouth fury iii                   ,USA    ,14,8,440,215,4312,8.5,70,Other,USA    ,Early,plymouth     
pontiac catalina                    ,USA    ,14,8,455,225,4425,10,70,Other,USA    ,Early,pontiac      
amc ambassador dpl                  ,USA    ,15,8,390,190,3850,8.5,70,Other,USA    ,Early,amc          
citroen ds-21 pallas                ,France ,NaN,4,133,115,3090,17.5,70,Four ,Europe ,Early,citroen      
chevrolet chevelle concours (sw)    ,USA    ,NaN,8,350,165,4142,11.5,70,Other,USA    ,Early,chevrolet    
ford torino (sw)                    ,USA    ,NaN,8,351,153,4034,11,70,Other,USA    ,Early,ford         
plymouth satellite (sw)             ,USA    ,NaN,8,383,175,4166,10.5,70,Other,USA    ,Early,plymouth     
amc rebel sst (sw)                  ,USA    ,NaN,8,360,175,3850,11,70,Other,USA    ,Early,amc          
dodge challenger se                 ,USA    ,15,8,383,170,3563,10,70,Other,USA    ,Early,dodge        
plymouth 'cuda 340                  ,USA    ,14,8,340,160,3609,8,70,Other,USA    ,Early,plymouth     
ford mustang boss 302               ,USA    ,NaN,8,302,140,3353,8,70,Other,USA    ,Early,ford         
chevrolet monte carlo               ,USA    ,15,8,400,150,3761,9.5,70,Other,USA    ,Early,chevrolet    
buick estate wagon (sw)             ,USA    ,14,8,455,225,3086,10,70,Other,USA    ,Early,buick        
toyota corona mark ii               ,Japan  ,24,4,113,95,2372,15,70,Four ,Japan  ,Early,toyota       
plymouth duster                     ,USA    ,22,6,198,95,2833,15.5,70,Other,USA    ,Early,plymouth     
amc hornet                          ,USA    ,18,6,199,97,2774,15.5,70,Other,USA    ,Early,amc          
ford maverick                       ,USA    ,21,6,200,85,2587,16,70,Other,USA    ,Early,ford         
datsun pl510                        ,Japan  ,27,4,97,88,2130,14.5,70,Four ,Japan  ,Early,datsun       
volkswagen 1131 deluxe sedan        ,Germany,26,4,97,46,1835,20.5,70,Four ,Europe ,Early,volkswagen   
peugeot 504                         ,France ,25,4,110,87,2672,17.5,70,Four ,Europe ,Early,peugeot      
audi 100 ls                         ,Germany,24,4,107,90,2430,14.5,70,Four ,Europe ,Early,audi         
saab 99e                            ,Sweden ,25,4,104,95,2375,17.5,70,Four ,Europe ,Early,saab         
bmw 2002                            ,Germany,26,4,121,113,2234,12.5,70,Four ,Europe ,Early,bmw          
amc gremlin                         ,USA    ,21,6,199,90,2648,15,70,Other,USA    ,Early,amc          
ford f250                           ,USA    ,10,8,360,215,4615,14,70,Other,USA    ,Early,ford         
chevrolet c20                       ,USA    ,10,8,307,200,4376,15,70,Other,USA    ,Early,chevrolet    
dodge d200                          ,USA    ,11,8,318,210,4382,13.5,70,Other,USA    ,Early,dodge        
ih 1200d                            ,USA    ,9,8,304,193,4732,18.5,70,Other,USA    ,Early,ih           
datsun pl510                        ,Japan  ,27,4,97,88,2130,14.5,71,Four ,Japan  ,Early,datsun       
chevrolet vega 2300                 ,USA    ,28,4,140,90,2264,15.5,71,Four ,USA    ,Early,chevrolet    
toyota corona                       ,Japan  ,25,4,113,95,2228,14,71,Four ,Japan  ,Early,toyota       
ford pinto                          ,USA    ,25,4,98,NaN,2046,19,71,Four ,USA    ,Early,ford         
volkswagen super beetle 117         ,Germany,NaN,4,97,48,1978,20,71,Four ,Europe ,Early,volkswagen   
amc gremlin                         ,USA    ,19,6,232,100,2634,13,71,Other,USA    ,Early,amc          
plymouth satellite custom           ,USA    ,16,6,225,105,3439,15.5,71,Other,USA    ,Early,plymouth     
chevrolet chevelle malibu           ,USA    ,17,6,250,100,3329,15.5,71,Other,USA    ,Early,chevrolet    
ford torino 500                     ,USA    ,19,6,250,88,3302,15.5,71,Other,USA    ,Early,ford         
amc matador                         ,USA    ,18,6,232,100,3288,15.5,71,Other,USA    ,Early,amc          
chevrolet impala                    ,USA    ,14,8,350,165,4209,12,71,Other,USA    ,Early,chevrolet    
pontiac catalina brougham           ,USA    ,14,8,400,175,4464,11.5,71,Other,USA    ,Early,pontiac      
ford galaxie 500                    ,USA    ,14,8,351,153,4154,13.5,71,Other,USA    ,Early,ford         
plymouth fury iii                   ,USA    ,14,8,318,150,4096,13,71,Other,USA    ,Early,plymouth     
dodge monaco (sw)                   ,USA    ,12,8,383,180,4955,11.5,71,Other,USA    ,Early,dodge        
ford country squire (sw)            ,USA    ,13,8,400,170,4746,12,71,Other,USA    ,Early,ford         
pontiac safari (sw)                 ,USA    ,13,8,400,175,5140,12,71,Other,USA    ,Early,pontiac      
amc hornet sportabout (sw)          ,USA    ,18,6,258,110,2962,13.5,71,Other,USA    ,Early,amc          
chevrolet vega (sw)                 ,USA    ,22,4,140,72,2408,19,71,Four ,USA    ,Early,chevrolet    
pontiac firebird                    ,USA    ,19,6,250,100,3282,15,71,Other,USA    ,Early,pontiac      
ford mustang                        ,USA    ,18,6,250,88,3139,14.5,71,Other,USA    ,Early,ford         
mercury capri 2000                  ,USA    ,23,4,122,86,2220,14,71,Four ,USA    ,Early,mercury      
opel 1900                           ,Germany,28,4,116,90,2123,14,71,Four ,Europe ,Early,opel         
peugeot 304                         ,France ,30,4,79,70,2074,19.5,71,Four ,Europe ,Early,peugeot      
fiat 124b                           ,Italy  ,30,4,88,76,2065,14.5,71,Four ,Europe ,Early,fiat         
toyota corolla 1200                 ,Japan  ,31,4,71,65,1773,19,71,Four ,Japan  ,Early,toyota       
datsun 1200                         ,Japan  ,35,4,72,69,1613,18,71,Four ,Japan  ,Early,datsun       
volkswagen model 111                ,Germany,27,4,97,60,1834,19,71,Four ,Europe ,Early,volkswagen   
plymouth cricket                    ,USA    ,26,4,91,70,1955,20.5,71,Four ,USA    ,Early,plymouth     
toyota corona hardtop               ,Japan  ,24,4,113,95,2278,15.5,72,Four ,Japan  ,Early,toyota       
dodge colt hardtop                  ,USA    ,25,4,97.5,80,2126,17,72,Four ,USA    ,Early,dodge        
volkswagen type 3                   ,Germany,23,4,97,54,2254,23.5,72,Four ,Europe ,Early,volkswagen   
chevrolet vega                      ,USA    ,20,4,140,90,2408,19.5,72,Four ,USA    ,Early,chevrolet    
ford pinto runabout                 ,USA    ,21,4,122,86,2226,16.5,72,Four ,USA    ,Early,ford         
chevrolet impala                    ,USA    ,13,8,350,165,4274,12,72,Other,USA    ,Early,chevrolet    
pontiac catalina                    ,USA    ,14,8,400,175,4385,12,72,Other,USA    ,Early,pontiac      
plymouth fury iii                   ,USA    ,15,8,318,150,4135,13.5,72,Other,USA    ,Early,plymouth     
ford galaxie 500                    ,USA    ,14,8,351,153,4129,13,72,Other,USA    ,Early,ford         
amc ambassador sst                  ,USA    ,17,8,304,150,3672,11.5,72,Other,USA    ,Early,amc          
mercury marquis                     ,USA    ,11,8,429,208,4633,11,72,Other,USA    ,Early,mercury      
buick lesabre custom                ,USA    ,13,8,350,155,4502,13.5,72,Other,USA    ,Early,buick        
oldsmobile delta 88 royale          ,USA    ,12,8,350,160,4456,13.5,72,Other,USA    ,Early,oldsmobile   
chrysler newport royal              ,USA    ,13,8,400,190,4422,12.5,72,Other,USA    ,Early,chrysler     
mazda rx2 coupe                     ,Japan  ,19,3,70,97,2330,13.5,72,Other,Japan  ,Early,mazda        
amc matador (sw)                    ,USA    ,15,8,304,150,3892,12.5,72,Other,USA    ,Early,amc          
chevrolet chevelle concours (sw)    ,USA    ,13,8,307,130,4098,14,72,Other,USA    ,Early,chevrolet    
ford gran torino (sw)               ,USA    ,13,8,302,140,4294,16,72,Other,USA    ,Early,ford         
plymouth satellite custom (sw)      ,USA    ,14,8,318,150,4077,14,72,Other,USA    ,Early,plymouth     
volvo 145e (sw)                     ,Sweden ,18,4,121,112,2933,14.5,72,Four ,Europe ,Early,volvo        
volkswagen 411 (sw)                 ,Germany,22,4,121,76,2511,18,72,Four ,Europe ,Early,volkswagen   
peugeot 504 (sw)                    ,France ,21,4,120,87,2979,19.5,72,Four ,Europe ,Early,peugeot      
renault 12 (sw)                     ,France ,26,4,96,69,2189,18,72,Four ,Europe ,Early,renault      
ford pinto (sw)                     ,USA    ,22,4,122,86,2395,16,72,Four ,USA    ,Early,ford         
datsun 510 (sw)                     ,Japan  ,28,4,97,92,2288,17,72,Four ,Japan  ,Early,datsun       
toyota corona mark ii (sw)          ,Japan  ,23,4,120,97,2506,14.5,72,Four ,Japan  ,Early,toyota       
dodge colt (sw)                     ,USA    ,28,4,98,80,2164,15,72,Four ,USA    ,Early,dodge        
toyota corolla 1600 (sw)            ,Japan  ,27,4,97,88,2100,16.5,72,Four ,Japan  ,Early,toyota       
buick century 350                   ,USA    ,13,8,350,175,4100,13,73,Other,USA    ,Early,buick        
amc matador                         ,USA    ,14,8,304,150,3672,11.5,73,Other,USA    ,Early,amc          
chevrolet malibu                    ,USA    ,13,8,350,145,3988,13,73,Other,USA    ,Early,chevrolet    
ford gran torino                    ,USA    ,14,8,302,137,4042,14.5,73,Other,USA    ,Early,ford         
dodge coronet custom                ,USA    ,15,8,318,150,3777,12.5,73,Other,USA    ,Early,dodge        
mercury marquis brougham            ,USA    ,12,8,429,198,4952,11.5,73,Other,USA    ,Early,mercury      
chevrolet caprice classic           ,USA    ,13,8,400,150,4464,12,73,Other,USA    ,Early,chevrolet    
ford ltd                            ,USA    ,13,8,351,158,4363,13,73,Other,USA    ,Early,ford         
plymouth fury gran sedan            ,USA    ,14,8,318,150,4237,14.5,73,Other,USA    ,Early,plymouth     
chrysler new yorker brougham        ,USA    ,13,8,440,215,4735,11,73,Other,USA    ,Early,chrysler     
buick electra 225 custom            ,USA    ,12,8,455,225,4951,11,73,Other,USA    ,Early,buick        
amc ambassador brougham             ,USA    ,13,8,360,175,3821,11,73,Other,USA    ,Early,amc          
plymouth valiant                    ,USA    ,18,6,225,105,3121,16.5,73,Other,USA    ,Early,plymouth     
chevrolet nova custom               ,USA    ,16,6,250,100,3278,18,73,Other,USA    ,Early,chevrolet    
amc hornet                          ,USA    ,18,6,232,100,2945,16,73,Other,USA    ,Early,amc          
ford maverick                       ,USA    ,18,6,250,88,3021,16.5,73,Other,USA    ,Early,ford         
plymouth duster                     ,USA    ,23,6,198,95,2904,16,73,Other,USA    ,Early,plymouth     
volkswagen super beetle             ,Germany,26,4,97,46,1950,21,73,Four ,Europe ,Early,volkswagen   
chevrolet impala                    ,USA    ,11,8,400,150,4997,14,73,Other,USA    ,Early,chevrolet    
ford country                        ,USA    ,12,8,400,167,4906,12.5,73,Other,USA    ,Early,ford         
plymouth custom suburb              ,USA    ,13,8,360,170,4654,13,73,Other,USA    ,Early,plymouth     
oldsmobile vista cruiser            ,USA    ,12,8,350,180,4499,12.5,73,Other,USA    ,Early,oldsmobile   
amc gremlin                         ,USA    ,18,6,232,100,2789,15,73,Other,USA    ,Early,amc          
toyota carina                       ,Japan  ,20,4,97,88,2279,19,73,Four ,Japan  ,Early,toyota       
chevrolet vega                      ,USA    ,21,4,140,72,2401,19.5,73,Four ,USA    ,Early,chevrolet    
datsun 610                          ,Japan  ,22,4,108,94,2379,16.5,73,Four ,Japan  ,Early,datsun       
mazda rx3                           ,Japan  ,18,3,70,90,2124,13.5,73,Other,Japan  ,Early,mazda        
ford pinto                          ,USA    ,19,4,122,85,2310,18.5,73,Four ,USA    ,Early,ford         
mercury capri v6                    ,USA    ,21,6,155,107,2472,14,73,Other,USA    ,Early,mercury      
fiat 124 sport coupe                ,Italy  ,26,4,98,90,2265,15.5,73,Four ,Europe ,Early,fiat         
chevrolet monte carlo s             ,USA    ,15,8,350,145,4082,13,73,Other,USA    ,Early,chevrolet    
pontiac grand prix                  ,USA    ,16,8,400,230,4278,9.5,73,Other,USA    ,Early,pontiac      
fiat 128                            ,Italy  ,29,4,68,49,1867,19.5,73,Four ,Europe ,Early,fiat         
opel manta                          ,Germany,24,4,116,75,2158,15.5,73,Four ,Europe ,Early,opel         
audi 100ls                          ,Germany,20,4,114,91,2582,14,73,Four ,Europe ,Early,audi         
volvo 144ea                         ,Sweden ,19,4,121,112,2868,15.5,73,Four ,Europe ,Early,volvo        
dodge dart custom                   ,USA    ,15,8,318,150,3399,11,73,Other,USA    ,Early,dodge        
saab 99le                           ,Sweden ,24,4,121,110,2660,14,73,Four ,Europe ,Early,saab         
toyota mark ii                      ,Japan  ,20,6,156,122,2807,13.5,73,Other,Japan  ,Early,toyota       
oldsmobile omega                    ,USA    ,11,8,350,180,3664,11,73,Other,USA    ,Early,oldsmobile   
plymouth duster                     ,USA    ,20,6,198,95,3102,16.5,74,Other,USA    ,Mid  ,plymouth     
ford maverick                       ,USA    ,21,6,200,NaN,2875,17,74,Other,USA    ,Mid  ,ford         
amc hornet                          ,USA    ,19,6,232,100,2901,16,74,Other,USA    ,Mid  ,amc          
chevrolet nova                      ,USA    ,15,6,250,100,3336,17,74,Other,USA    ,Mid  ,chevrolet    
datsun b210                         ,Japan  ,31,4,79,67,1950,19,74,Four ,Japan  ,Mid  ,datsun       
ford pinto                          ,USA    ,26,4,122,80,2451,16.5,74,Four ,USA    ,Mid  ,ford         
toyota corolla 1200                 ,Japan  ,32,4,71,65,1836,21,74,Four ,Japan  ,Mid  ,toyota       
chevrolet vega                      ,USA    ,25,4,140,75,2542,17,74,Four ,USA    ,Mid  ,chevrolet    
chevrolet chevelle malibu classic   ,USA    ,16,6,250,100,3781,17,74,Other,USA    ,Mid  ,chevrolet    
amc matador                         ,USA    ,16,6,258,110,3632,18,74,Other,USA    ,Mid  ,amc          
plymouth satellite sebring          ,USA    ,18,6,225,105,3613,16.5,74,Other,USA    ,Mid  ,plymouth     
ford gran torino                    ,USA    ,16,8,302,140,4141,14,74,Other,USA    ,Mid  ,ford         
buick century luxus (sw)            ,USA    ,13,8,350,150,4699,14.5,74,Other,USA    ,Mid  ,buick        
dodge coronet custom (sw)           ,USA    ,14,8,318,150,4457,13.5,74,Other,USA    ,Mid  ,dodge        
ford gran torino (sw)               ,USA    ,14,8,302,140,4638,16,74,Other,USA    ,Mid  ,ford         
amc matador (sw)                    ,USA    ,14,8,304,150,4257,15.5,74,Other,USA    ,Mid  ,amc          
audi fox                            ,Germany,29,4,98,83,2219,16.5,74,Four ,Europe ,Mid  ,audi         
volkswagen dasher                   ,Germany,26,4,79,67,1963,15.5,74,Four ,Europe ,Mid  ,volkswagen   
opel manta                          ,Germany,26,4,97,78,2300,14.5,74,Four ,Europe ,Mid  ,opel         
toyota corona                       ,Japan  ,31,4,76,52,1649,16.5,74,Four ,Japan  ,Mid  ,toyota       
datsun 710                          ,Japan  ,32,4,83,61,2003,19,74,Four ,Japan  ,Mid  ,datsun       
dodge colt                          ,USA    ,28,4,90,75,2125,14.5,74,Four ,USA    ,Mid  ,dodge        
fiat 128                            ,Italy  ,24,4,90,75,2108,15.5,74,Four ,Europe ,Mid  ,fiat         
fiat 124 tc                         ,Italy  ,26,4,116,75,2246,14,74,Four ,Europe ,Mid  ,fiat         
honda civic                         ,Japan  ,24,4,120,97,2489,15,74,Four ,Japan  ,Mid  ,honda        
subaru                              ,Japan  ,26,4,108,93,2391,15.5,74,Four ,Japan  ,Mid  ,subaru       
fiat x1.9                           ,Italy  ,31,4,79,67,2000,16,74,Four ,Europe ,Mid  ,fiat         
plymouth valiant custom             ,USA    ,19,6,225,95,3264,16,75,Other,USA    ,Mid  ,plymouth     
chevrolet nova                      ,USA    ,18,6,250,105,3459,16,75,Other,USA    ,Mid  ,chevrolet    
mercury monarch                     ,USA    ,15,6,250,72,3432,21,75,Other,USA    ,Mid  ,mercury      
ford maverick                       ,USA    ,15,6,250,72,3158,19.5,75,Other,USA    ,Mid  ,ford         
pontiac catalina                    ,USA    ,16,8,400,170,4668,11.5,75,Other,USA    ,Mid  ,pontiac      
chevrolet bel air                   ,USA    ,15,8,350,145,4440,14,75,Other,USA    ,Mid  ,chevrolet    
plymouth grand fury                 ,USA    ,16,8,318,150,4498,14.5,75,Other,USA    ,Mid  ,plymouth     
ford ltd                            ,USA    ,14,8,351,148,4657,13.5,75,Other,USA    ,Mid  ,ford         
buick century                       ,USA    ,17,6,231,110,3907,21,75,Other,USA    ,Mid  ,buick        
chevrolet chevelle malibu           ,USA    ,16,6,250,105,3897,18.5,75,Other,USA    ,Mid  ,chevrolet    
amc matador                         ,USA    ,15,6,258,110,3730,19,75,Other,USA    ,Mid  ,amc          
plymouth fury                       ,USA    ,18,6,225,95,3785,19,75,Other,USA    ,Mid  ,plymouth     
buick skyhawk                       ,USA    ,21,6,231,110,3039,15,75,Other,USA    ,Mid  ,buick        
chevrolet monza 2+2                 ,USA    ,20,8,262,110,3221,13.5,75,Other,USA    ,Mid  ,chevrolet    
ford mustang ii                     ,USA    ,13,8,302,129,3169,12,75,Other,USA    ,Mid  ,ford         
toyota corolla                      ,Japan  ,29,4,97,75,2171,16,75,Four ,Japan  ,Mid  ,toyota       
ford pinto                          ,USA    ,23,4,140,83,2639,17,75,Four ,USA    ,Mid  ,ford         
amc gremlin                         ,USA    ,20,6,232,100,2914,16,75,Other,USA    ,Mid  ,amc          
pontiac astro                       ,USA    ,23,4,140,78,2592,18.5,75,Four ,USA    ,Mid  ,pontiac      
toyota corona                       ,Japan  ,24,4,134,96,2702,13.5,75,Four ,Japan  ,Mid  ,toyota       
volkswagen dasher                   ,Germany,25,4,90,71,2223,16.5,75,Four ,Europe ,Mid  ,volkswagen   
datsun 710                          ,Japan  ,24,4,119,97,2545,17,75,Four ,Japan  ,Mid  ,datsun       
ford pinto                          ,USA    ,18,6,171,97,2984,14.5,75,Other,USA    ,Mid  ,ford         
volkswagen rabbit                   ,Germany,29,4,90,70,1937,14,75,Four ,Europe ,Mid  ,volkswagen   
amc pacer                           ,USA    ,19,6,232,90,3211,17,75,Other,USA    ,Mid  ,amc          
audi 100ls                          ,Germany,23,4,115,95,2694,15,75,Four ,Europe ,Mid  ,audi         
peugeot 504                         ,France ,23,4,120,88,2957,17,75,Four ,Europe ,Mid  ,peugeot      
volvo 244dl                         ,Sweden ,22,4,121,98,2945,14.5,75,Four ,Europe ,Mid  ,volvo        
saab 99le                           ,Sweden ,25,4,121,115,2671,13.5,75,Four ,Europe ,Mid  ,saab         
honda civic cvcc                    ,Japan  ,33,4,91,53,1795,17.5,75,Four ,Japan  ,Mid  ,honda        
fiat 131                            ,Italy  ,28,4,107,86,2464,15.5,76,Four ,Europe ,Mid  ,fiat         
opel 1900                           ,Germany,25,4,116,81,2220,16.9,76,Four ,Europe ,Mid  ,opel         
ford capri ii                       ,USA    ,25,4,140,92,2572,14.9,76,Four ,USA    ,Mid  ,ford         
dodge colt                          ,USA    ,26,4,98,79,2255,17.7,76,Four ,USA    ,Mid  ,dodge        
renault 12tl                        ,France ,27,4,101,83,2202,15.3,76,Four ,Europe ,Mid  ,renault      
chevrolet chevelle malibu classic   ,USA    ,17.5,8,305,140,4215,13,76,Other,USA    ,Mid  ,chevrolet    
dodge coronet brougham              ,USA    ,16,8,318,150,4190,13,76,Other,USA    ,Mid  ,dodge        
amc matador                         ,USA    ,15.5,8,304,120,3962,13.9,76,Other,USA    ,Mid  ,amc          
ford gran torino                    ,USA    ,14.5,8,351,152,4215,12.8,76,Other,USA    ,Mid  ,ford         
plymouth valiant                    ,USA    ,22,6,225,100,3233,15.4,76,Other,USA    ,Mid  ,plymouth     
chevrolet nova                      ,USA    ,22,6,250,105,3353,14.5,76,Other,USA    ,Mid  ,chevrolet    
ford maverick                       ,USA    ,24,6,200,81,3012,17.6,76,Other,USA    ,Mid  ,ford         
amc hornet                          ,USA    ,22.5,6,232,90,3085,17.6,76,Other,USA    ,Mid  ,amc          
chevrolet chevette                  ,USA    ,29,4,85,52,2035,22.2,76,Four ,USA    ,Mid  ,chevrolet    
chevrolet woody                     ,USA    ,24.5,4,98,60,2164,22.1,76,Four ,USA    ,Mid  ,chevrolet    
